key,f1
automatic_early_termination,1.0
calculation_agent,0.85
credit_event_upon_merger,0.9500000000000001
cross_default,0.9500000000000001
date,1.0
governing_law,1.0
multibranch_party_A,1.0
multibranch_party_A_offices,0.7
multibranch_party_B,1.0
multibranch_party_B_offices,1.0
notices_A,0.9
notices_B,0.9500000000000001
party_A,0.9500000000000001
party_B,0.9500000000000001
process_agent_A,1.0
process_agent_B,1.0
process_agent_address_A,0.9
process_agent_address_B,1.0
process_agent_name_A,1.0
process_agent_name_B,0.9500000000000001
specified_entity_A,0.85
specified_entity_B,0.75
specified_indebtness_borrowed_money,0.9500000000000001
specified_indebtness_deposits,1.0
specified_transaction,0.9
termination_currency,1.0
threshold_amount_A_amount,1.0
threshold_amount_A_currency,1.0
threshold_amount_A_percent,1.0
threshold_amount_A_percent_reference,1.0
threshold_amount_B_amount,1.0
threshold_amount_B_currency,0.9500000000000001
threshold_amount_B_percent,1.0
threshold_amount_B_percent_reference,1.0
