key,accuracy,support
automatic_early_termination,1.0,3
calculation_agent,0.6666666666666666,3
credit_event_upon_merger,0.6666666666666666,3
cross_default,0.6666666666666666,3
date,1.0,3
governing_law,0.6666666666666666,3
multibranch_party_A,0.6666666666666666,3
multibranch_party_A_offices,0.6666666666666666,3
multibranch_party_B,1.0,3
multibranch_party_B_offices,1.0,3
notices_A,1.0,3
notices_B,1.0,3
party_A,1.0,3
party_B,1.0,3
process_agent_A,1.0,3
process_agent_B,1.0,3
process_agent_address_A,0.6666666666666666,3
process_agent_address_B,1.0,3
process_agent_name_A,1.0,3
process_agent_name_B,1.0,3
specified_entity_A,1.0,3
specified_entity_B,1.0,3
specified_indebtness_borrowed_money,0.6666666666666666,3
specified_indebtness_deposits,0.6666666666666666,3
specified_transaction,0.6666666666666666,3
termination_currency,1.0,3
threshold_amount_A_amount,1.0,3
threshold_amount_A_currency,1.0,3
threshold_amount_A_percent,1.0,3
threshold_amount_A_percent_reference,1.0,3
threshold_amount_B_amount,1.0,3
threshold_amount_B_currency,1.0,3
threshold_amount_B_percent,1.0,3
threshold_amount_B_percent_reference,1.0,3
